question,answer,theme,keywords,Name of Document,Page no.
Who is the first point through which people can be mobilised to realise their rights?,The ASHA is the first point through which people can be mobilised to realise their rights.,ASHA Mobilisation,"['ASHA', 'first point', 'mobilised', 'realise their rights']",Induction Training Module for ASHA English,"[23, 24]"
What should ASHA workers assess in health facilities?,ASHA workers should assess the quality of health services being provided in these facilities and map out the distances of each of these facilities from their village and identify the possible means of transportation for reaching these centres.,ASHA Assessment,"['ASHA workers', 'assess', 'quality of health services', 'facilities', 'map out', 'distances', 'village', 'possible means of transportation', 'reaching', 'centres']",Induction Training Module for ASHA English,"[23, 24]"
What are the providers available at Health Sub-Centres?,One ANM (A second ANM has been placed in certain states) and Multipurpose health worker in some places.,Health Sub-Centres Providers,"['Health Sub-Centres', 'providers', 'ANM', 'Multipurpose health worker', 'places']",Induction Training Module for ASHA English,"[23, 24]"
What services are provided by ANM at Health Sub-Centres?,"ANM provides family planning services, complete package of ANC, growth monitoring and nutritional counselling, treatment of minor illnesses and childhood diseases, follow up on treatment for TB, Leprosy, Malaria and activities for control of vector borne diseases, and delivery services if trained as SBA.",Services provided by ANM at Health Sub-Centres,"['ANM', 'family planning services', 'ANC', 'growth monitoring', 'nutritional counselling', 'treatment of minor illnesses', 'childhood diseases', 'follow up on treatment', 'TB', 'Leprosy', 'Malaria', 'activities for control of vector borne diseases', 'delivery services', 'trained as SBA']",Induction Training Module for ASHA English,"[23, 24]"
What is the population coverage of Primary Health Centre?,"20,000 in hilly, tribal, or difficult areas and 30,000 population in plain areas.",Population coverage of Primary Health Centre,"['population coverage', 'Primary Health Centre', 'hilly', 'tribal', 'difficult areas', 'plain areas']",Induction Training Module for ASHA English,"[23, 24]"
What are the providers available at Primary Health Centre?,"One MBBS Medical Officer, one AYUSH doctor, one staff nurse, and 1 Sanitary staff (Many PHCs have two medical officers).",Providers available at Primary Health Centre,"['MBBS Medical Officer', 'AYUSH doctor', 'staff nurse', 'Sanitary staff', 'PHCs', 'medical officers']",Induction Training Module for ASHA English,"[23, 24]"
What services are provided by Primary Health Centre?,"Primary Health Centre provides all the services mentioned for Health Sub-Centres plus 24-hour institutional delivery services, out-patient care for all ailments, essential newborn care, abortion services, male/female sterilisation services, health check-up and treatment of school children, and adolescent friendly clinic for 2 hours once a week.",Services provided by Primary Health Centre,"['Primary Health Centre', 'services', 'Health Sub-Centres', '24-hour institutional delivery services', 'out-patient care', 'essential newborn care', 'abortion services', 'male/female sterilisation services', 'health check-up', 'treatment of school children', 'adolescent friendly clinic']",Induction Training Module for ASHA English,"[23, 24]"
What is the name of the facility?,Community Health Centre,facility name,"['name', 'facility']",Induction Training Module for ASHA English,"[25, 26]"
How many beds does the Community Health Centre have?,30,number of beds,"['beds', 'number']",Induction Training Module for ASHA English,"[25, 26]"
What is the population coverage of the Community Health Centre in tribal/hilly/desert areas?,"80,000",population coverage in tribal/hilly/desert areas,"['population coverage', 'tribal', 'hilly', 'desert', 'areas']",Induction Training Module for ASHA English,"[25, 26]"
What is the population coverage of the Community Health Centre in plain areas?,"1,20,000",population coverage in plain areas,"['population coverage', 'plain', 'areas']",Induction Training Module for ASHA English,"[25, 26]"
How many doctors are available at the Community Health Centre?,5-6,number of doctors,"['doctors', 'number']",Induction Training Module for ASHA English,"[25, 26]"
What types of healthcare specialists are available at the Community Health Centre?,Specialists for different types of healthcare,healthcare specialists,"['types', 'specialists', 'healthcare']",Induction Training Module for ASHA English,"[25, 26]"
What other providers are available at the Community Health Centre?,Nurses and Paramedical staff,providers,"['providers', 'nurses', 'paramedical staff']",Induction Training Module for ASHA English,"[25, 26]"
What services does the Community Health Centre provide?,"Apart from all services that a PHC is meant to provide, each CHC also provides clinical care services in some of the specialist areas and institutional delivery services",services,"['services', 'PHC', 'clinical care', 'specialist areas', 'institutional delivery']",Induction Training Module for ASHA English,"[25, 26]"
What services can some CHCs provide?,Some CHCs are designated and equipped to provide services of Caesarean Delivery,services,"['services', 'CHCs', 'Caesarean Delivery']",Induction Training Module for ASHA English,"[25, 26]"
What is the name of the facility?,District Hospital,facility,"['name', 'facility', 'District Hospital']",Induction Training Module for ASHA English,"[25, 26]"
How many beds does the District Hospital have?,75 to 500,Number of Beds,"['District Hospital', 'beds']",Induction Training Module for ASHA English,"[25, 26]"
What determines the number of beds at the District Hospital?,"The size, terrain and population of the district",Determinants of Number of Beds,"['District Hospital', 'number of beds', 'size', 'terrain', 'population', 'district']",Induction Training Module for ASHA English,"[25, 26]"
